SSROC,Car - as passenger,28750,3.9372,31401,4.7191,32738,5.1059,34920,5.8238,41210,6.9273
SSROC,Truck,5583,0.7646,6614,0.994,8020,1.2508,0,0,0,0
SSROC,Truck,5583,2.2937,6614,2.9819,8020,3.7525,0,0,0,0
SSROC,Motorbike,5817,0.7966,3460,0.52,2403,0.3748,2596,0.4329,2705,0.4547
SSROC,Bicycle,9584,1.3125,5736,0.862,4718,0.7358,3643,0.6076,3549,0.5966
SSROC,Walked only,48910,6.698,43330,6.5118,35686,5.5657,31361,5.2302,31671,5.3238
SSROC,Other,7367,1.0089,6594,0.991,7231,1.1278,8666,1.4453,5409,0.9092
SSROC,Worked at home,27173,3.7212,23440,3.5227,23345,3.641,20435,3.408,16926,2.8452
SSROC,Did not go to work,59827,8.193,60516,9.0946,59127,9.2216,56152,9.3647,43530,7.3172
SSROC,Not stated,10315,1.4126,12219,1.8363,10687,1.6668,10149,1.6926,24495,4.1175
SSROC,Total employed persons aged 15+,730219,100,665405,100,641178,100,599613,100,594896,100
New South Wales,Train,292893,9.3575,240860,8.3012,250580,9.1173,220791,8.6284,209757,8.6536
New South Wales,Bus,129480,4.1367,110262,3.8002,104782,3.8125,97642,3.8158,142859,5.8937
New South Wales,Tram or Ferry,7851,0.2508,6907,0.238,6461,0.2351,5069,0.1981,7987,0.3295
New South Wales,Taxi,7537,0.2408,8009,0.276,8223,0.2992,9496,0.3711,12667,0.5226
New South Wales,Car - as driver,1805503,57.6831,1637999,56.4537,1487981,54.14,1396204,54.5632,1236992,51.0326
New South Wales,Car - as passenger,156639,5.0044,166127,5.7256,168862,6.144,176686,6.9048,199267,8.2208
New South Wales,Truck,38531,1.231,45928,1.5829,54093,1.9682,0,0,0,0
New South Wales,Truck,38531,3.693,45928,4.7487,54093,5.9045,0,0,0,0
New South Wales,Motorbike,19586,0.6257,16477,0.5679,14159,0.5152,16423,0.6418,18966,0.7825
New South Wales,Bicycle,23366,0.7465,19226,0.6626,17730,0.6451,17305,0.6763,19450,0.8024
New South Wales,Walked only,127460,4.0722,126767,4.369,114927,4.1816,114538,4.4761,122916,5.071
New South Wales,Other,33258,1.0625,28602,0.9858,36604,1.3318,50756,1.9835,31023,1.2799
New South Wales,Worked at home,142925,4.5662,138315,4.767,142076,5.1694,134932,5.2731,120857,4.986
New South Wales,Did not go to work,296976,9.4879,301940,10.4064,292757,10.6519,272871,10.6637,199499,8.2304
New South Wales,Not stated,48033,1.5346,54073,1.8636,49162,1.7888,46161,1.804,101684,4.195
New South Wales,Total employed persons aged 15+,3130038,100,2901492,100,2748397,100,2558874,100,2423924,100
Australia,Train,632341,6.2877,486837,5.3474,452019,5.447,394304,5.1646,372049,5.3991
Australia,Bus,347472,3.4551,284327,3.123,244780,2.9497,231858,3.0369,299156,4.3413
Australia,Tram or Ferry,57341,0.5702,45776,0.5028,40926,0.4932,29728,0.3894,50303,0.73
Australia,Taxi,22065,0.2194,21973,0.2414,21147,0.2548,25013,0.3276,28436,0.4127
Australia,Car - as driver,6059265,60.2507,5404034,59.3577,4816600,58.0416,4419995,57.8934,3746791,54.3722
Australia,Car - as passenger,537476,5.3444,533323,5.858,513234,6.1846,532136,6.97,559551,8.12
Australia,Truck,104732,1.0414,120404,1.3225,134133,1.6163,0,0,0,0
Australia,Truck,104732,3.1242,120404,3.9675,134133,4.849,0,0,0,0
Australia,Motorbike,64297,0.6393,60771,0.6675,48126,0.5799,52865,0.6924,61958,0.8991
Australia,Bicycle,103890,1.033,90118,0.9899,78212,0.9425,74423,0.9748,90155,1.3083
Australia,Walked only,376890,3.7476,367168,4.033,316636,3.8156,313893,4.1114,330880,4.8016
Australia,Other,132395,1.3165,103778,1.1399,113851,1.3719,157236,2.0595,84805,1.2307
Australia,Worked at home,443909,4.414,426523,4.6849,438513,5.2842,423914,5.5525,372279,5.4024
Australia,Did not go to work,1024784,10.19,995170,10.9309,928227,11.1854,841205,11.0182,591538,8.5842
Australia,Not stated,149893,1.4905,163985,1.8012,152133,1.8333,138140,1.8094,303098,4.3985
Australia,Total employed persons aged 15+,10056750,100,9104187,100,8298537,100,7634710,100,6890999,100
Alexandria - Beaconsfield,Train,1257,23.0147,765,18.1496,654,20.9254,357,16.9231,211,11.8301
Alexandria - Beaconsfield,Bus,541,9.8998,451,10.6939,298,9.513,206,9.7306,234,13.1671
Alexandria - Beaconsfield,Tram or Ferry,0,0,4,0.0949,0,0,3,0.1421,0,0
Alexandria - Beaconsfield,Taxi,68,1.2454,28,0.664,20,0.6299,15,0.7103,31,1.7358
Alexandria - Beaconsfield,Car - as driver,1865,34.1572,1664,39.4638,1271,40.6421,899,42.5446,681,38.2597
Alexandria - Beaconsfield,Car - as passenger,154,2.8259,181,4.2887,131,4.1985,122,5.791,131,7.3363
Alexandria - Beaconsfield,Truck,9,0.1648,20,0.4743,28,0.8794,0,0,0,0
Alexandria - Beaconsfield,Truck,9,0.4945,20,1.4228,28,2.6381,0,0,0,0
Alexandria - Beaconsfield,Motorbike,135,2.4752,66,1.5675,23,0.7482,13,0.6345,10,0.5393
Alexandria - Beaconsfield,Bicycle,246,4.5053,139,3.288,60,1.9154,33,1.5389,25,1.4212
Alexandria - Beaconsfield,Walked only,524,9.5985,336,7.9656,228,7.2778,171,8.1064,217,12.1728
Alexandria - Beaconsfield,Other,36,0.6639,45,1.0683,39,1.2503,32,1.5058,26,1.4324
Alexandria - Beaconsfield,Worked at home,211,3.8588,134,3.1765,110,3.5014,75,3.5655,56,3.1513
Alexandria - Beaconsfield,Did not go to work,380,6.964,347,8.2276,238,7.6008,158,7.4719,99,5.5724
Alexandria - Beaconsfield,Not stated,23,0.4249,37,0.8774,29,0.9177,28,1.3353,60,3.3816
Alexandria - Beaconsfield,Total employed persons aged 15+,5460,100,4217,100,3127,100,2112,100,1780,100
Camperdown,Train,236,7.0406,140,5.7495,80,5.6617,74,5.3006,36,3.4483
Camperdown,Bus,823,24.5525,567,23.2854,233,16.4897,193,13.7867,128,12.2409
Camperdown,Tram or Ferry,3,0.0895,3,0.1232,0,0,0,0,0,0
Camperdown,Taxi,54,1.611,14,0.5749,10,0.7077,13,0.9162,13,1.2322
Camperdown,Car - as driver,846,25.2387,629,25.8316,259,18.3298,262,18.7831,104,9.9771
Camperdown,Car - as passenger,89,2.6551,75,3.0801,28,1.9816,34,2.4445,23,2.2304
Camperdown,Truck,9,0.2685,0,0,3,0.2123,0,0,0,0
Camperdown,Truck,9,0.8055,0,0,3,0.6369,0,0,0,0
Camperdown,Motorbike,95,2.8341,17,0.6982,3,0.2123,8,0.5798,3,0.2866
Camperdown,Bicycle,105,3.1325,38,1.5606,13,0.92,6,0.4295,12,1.1462
Camperdown,Walked only,449,13.395,366,15.0308,244,17.2682,355,25.4223,424,40.5005
Camperdown,Other,34,1.0143,19,0.7803,25,1.7693,16,1.1596,3,0.2866
Camperdown,Worked at home,93,2.7745,69,2.8337,47,3.3263,39,2.7595,39,3.7253
Camperdown,Did not go to work,505,15.0656,468,19.2197,456,32.2718,382,27.3765,201,19.1948
Camperdown,Not stated,12,0.358,30,1.232,12,0.8493,15,1.0415,60,5.7312
Camperdown,Total employed persons aged 15+,3352,100,2435,100,1413,100,1397,100,1047,100
